Q1,Intro Test 1 Q1,Intro Test 2 Q1,Intro Test 2 Q2,Intro Test 3 Q1,Intro Test 3 Q2,Intro Test 3 Q3,Intro Test 4 Q1,Intro Test 4 Q2,Intro Test 4 Q3,Intro Test 4 Q4,wom 1 app,wom 1 power,wom 1 no,wom 1 yes,wom 1 trust you_1,wom 1 trust other_1,wom 1 agree_1,wom 1 agree_2,wom 1 agree_3,wom 1 agree_4,wom 1 agree_5,wom 1 agree_6,wom 1 agree_7,wom 1 agree_8,wom 1 agree_9,wom 1 agree_10,reg vis most,reg vis least,wom 2 app,wom 2 power,wom 2 no,wom 2 yes,wom 2 trust you_1,wom 2 trust other_1,wom 2 agree_1,wom 2 agree_2,wom 2 agree_3,wom 2 agree_4,wom 2 agree_5,wom 2 agree_6,wom 2 agree_7,wom 2 agree_8,wom 2 agree_9,wom 2 agree_10,wom 3 app,wom 3 power,wom 3 no,wom 3 yes,wom 3 trust you_1,wom 3 trust other_1,wom 3 agree_1,wom 3 agree_2,wom 3 agree_3,wom 3 agree_4,wom 3 agree_5,wom 3 agree_6,wom 3 agree_7,wom 3 agree_8,wom 3 agree_9,wom 3 agree_10,man 1 app,man 1 power,man 1 no,man 1 yes,man 1 trust you_1,man 1 trust other_1,man 1 agree_1,man 1 agree_2,man 1 agree_3,man 1 agree_4,man 1 agree_5,man 1 agree_6,man 1 agree_7,man 1 agree_8,man 1 agree_9,man 1 agree_10,man 2 app,man 2 power,man 2 no,man 2 yes,man 2 trust you_1,man 2 trust other_1,man 2 agree_1,man 2 agree_2,man 2 agree_3,man 2 agree_4,man 2 agree_5,man 2 agree_6,man 2 agree_7,man 2 agree_8,man 2 agree_9,man 2 agree_10,man 3 app,man 3 power,man 3 no,man 3 yes,man 3 trust you_1,man 3 trust other_1,man 3 agree_1,man 3 agree_2,man 3 agree_3,man 3 agree_4,man 3 agree_5,man 3 agree_6,man 3 agree_7,man 3 agree_8,man 3 agree_9,man 3 agree_10,percep decisions_1,percep output_1,percep other_1,fairness app a,fairness app b,fairness trust you_1,fairness trust other_1,fairness agree_1,fairness agree_2,fairness agree_3,fairness agree_4,fairness agree_5,fairness agree_6,fairness agree_7,fairness agree_8,fairness agree_9,fairness agree_10,discrimination yn,discrimination fact,fairness vis most,fairness vis least,age,gender,gender_4_TEXT,race,income,school,ml prof,FL_16_DO
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Sex,3,2,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,"The bar graph in the middle, beside the feature chart.",The feature chart on the right side.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,2,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,1,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",3,2,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,2,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,2,6,2,NO,YES,3,1,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,"Age,Sex",The feature chart on the right.,"The bart graph in the middle, beside the feature chart.",23,Man/Male (Cis or Trans),,Black/African American,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),No familiarity,Man2|Woman2|Man1|Man3|Woman3|Woman1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,The color aspect,The values weren't needed on third graph,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",4,4,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,6,6,6,NO,YES,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Sex,The colors highlight differences,The values given,23,Woman/Female (Cis or Trans),,White,"$0 - $49,999",Bachelor's degree in college (4-year),No familiarity,Woman3|Woman1|Man1|Man2|Man3|Woman2
I agree,"YES, you should wear a coat",hail,,Temperature,Wind,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Hours Worked Per Week,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,6,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Honestly all the info was useful but the most helpful was the middle chart.,The firt chart is great but it's the least useful to me,NO,Hours Worked Per Week,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,5,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Age,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,5,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",2,5,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Hours Worked Per Week,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,6,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Hours Worked Per Week,"Education,Age","Hours Worked Per Week,Sex,Occupation",5,6,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,6,6,4,NO,YES,5,6,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Sex,The last chart was the most helpful in this case.,The first chart was the least unhelpful.,31,Woman/Female (Cis or Trans),,Black/African American,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),No familiarity,Man1|Woman2|Woman3|Man2|Man3|Woman1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,The color coded bar graph and table,the tree graph,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,4,4,4,NO,YES,3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,YES,Sex,table and bar graph,tree chart,57,Man/Male (Cis or Trans),,White,"$100,000+",Master's degree,Beginner,Woman2|Man2|Man3|Woman3|Man1|Woman1
I agree,"NO, do not wear a coat",hail,,Temperature,Wind,Temperature,"YES, you should wear a coat",70,Temperature,Wind,NO,Age,"Education,Hours Worked Per Week,Sex,Occupation",Age,4,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,The graph bars I found most useful.,The chart with the Features and Value on it I found least useful. ,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",4,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,YES,Occupation,"Hours Worked Per Week,Age","Sex,Occupation",5,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,NO,Sex,"Education,Age","Hours Worked Per Week,Sex,Occupation",5,4,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,5,5,4,NO,YES,5,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,YES,Sex,Person B I find most useful. ,Person A I find least useful. ,35,Woman/Female (Cis or Trans),,White,"$0 - $49,999",Some college but no degree,Intermediate,Man1|Man3|Woman2|Woman1|Man2|Woman3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,How easy it is to understand,n/a,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",3,3,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,3,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,5,6,3,NO,YES,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Sex,how easy it is to understand,"N/A, it's extremely easy to understand",22,Man/Male (Cis or Trans),,White,"$0 - $49,999",Some college but no degree,Beginner,Man1|Man3|Man2|Woman3|Woman1|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,The amount of hours worked and education.,Sex.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,2,2,1,NO,YES,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,YES,"Age,Sex","Education, Hours, Occupation.","Sex, Age",21,Woman/Female (Cis or Trans),,Hispanic/Latinx,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),No familiarity,Man2|Woman2|Woman1|Woman3|Man1|Man3
I agree,"NO, do not wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,the colors,nothing,NO,Education,"Hours Worked Per Week,Age","Education,Occupation",3,2,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,4,4,3,NO,YES,3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,YES,Age,the sex aspect,age,20,Woman/Female (Cis or Trans),,Asian,"$50,000 - $99,999",Some college but no degree,Beginner,Woman2|Man2|Woman3|Man1|Woman1|Man3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,"The consistent use of the blue and orange colors. Primarily, the blue: ""NO"" and the orange: ""YES"". These colors helped me navigate through the material and understand what I needed to do.","The chart under the blue ""NO"" and orange ""YES"" could be better organized using bullet points and better spacing. However, the data points are necessary and should not be removed because it aided me in completing this task.",NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",5,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,6,6,6,NO,YES,6,6,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,NO,,"The descending layout of the critical factors (Education ranked #1, Gender ranked #2, Age ranked #3, Hours per week ranked #4, and Occupation ranked #5). I believe this is the correct placement for the design aspect of this model.",The font and the spacing.,43,Man/Male (Cis or Trans),,Asian,"$50,000 - $99,999",Bachelor's degree in college (4-year),Intermediate,Man2|Man1|Woman2|Woman3|Man3|Woman1
I agree,"YES, you should wear a coat",hail,,Temperature,Wind,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,the visuals of the colors blue and orange are easy to read,none,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",1,1,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,1,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",1,2,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,3,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,5,4,4,NO,YES,1,2,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Sex","education, occupation","sex, age",33,Woman/Female (Cis or Trans),,White,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),Beginner,Woman3|Man2|Man1|Woman1|Man3|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,3,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,feature and value,the no yes value bars,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,3,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,2,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",3,2,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,NO,Sex,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,3,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,3,2,3,NO,YES,2,4,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,YES,Sex,feature value,no yes bars,19,Man/Male (Cis or Trans),,Hispanic/Latinx,"$0 - $49,999",Some college but no degree,Beginner,Woman2|Man2|Woman3|Man3|Man1|Woman1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The Yes and No prediction bar ,The design in the middle,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Hours Worked Per Week,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,4,1,NO,YES,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Sex,The design in the middle,the first design to the left.,27,Woman/Female (Cis or Trans),,White,"$0 - $49,999",High school graduate (high school diploma or equivalent including GED),No familiarity,Man2|Man1|Woman1|Man3|Woman2|Woman3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,3,2,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,The prediction tab made it immediately apparent and also the middle chart to break down the information.,The values on the right. I didn't look at it much.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,3,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,NO,Age,"Education,Hours Worked Per Week,Age","Sex,Occupation",3,3,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",3,3,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,NO,Education,Education,"Hours Worked Per Week,Age,Sex,Occupation",3,3,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,5,5,6,NO,YES,2,2,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Sex",The right chart of values makes it abundantly clear that even with all the same qualifications sex would play a huge factor in the approval of the loan which is not fair.,The very left predictions does not have enough information to judge fairness. ,32,Woman/Female (Cis or Trans),,White,"$100,000+",Master's degree,No familiarity,Woman1|Man2|Man1|Woman3|Man3|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,prediction,feature/value,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,6,6,2,NO,YES,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Education,Sex",No/Yes,prediction,26,Woman/Female (Cis or Trans),,White,"$0 - $49,999",Bachelor's degree in college (4-year),Beginner,Woman2|Man1|Man3|Man2|Woman1|Woman3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,The color coding of yes and no made it easy to quickly see the prdection and what influences it., In my opinion the feature and value section does not have enough data to tell how much influence each feature has on the prediction.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,3,4,4,NO,YES,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Education,Sex",The influence of features on the no or yes prediction.,The feature and value table.,32,Man/Male (Cis or Trans),,White,"$0 - $49,999",Some college but no degree,Beginner,Woman2|Man3|Woman1|Woman3|Man2|Man1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Wind,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,They were each equally useful.,They were each equally useful.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,3,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,6,6,3,NO,YES,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Hours Per Week,Education,Occupation,Sex",The rightmost apsect.,The leftmost apsect.,44,Man/Male (Cis or Trans),,White,"$0 - $49,999",Associate degree in college (2-year),Beginner,Woman2|Man1|Woman3|Man2|Woman1|Man3
